,finished,page,title,url
328,False,1,合伙人,/c101010100-p150412/
329,False,1,创始人,/c101010100-p150413/
330,False,1,董事会秘书,/c101010100-p150414/
331,False,1,销售,/c101010100-p140399/
332,False,1,销售专员,/c101010100-p140301/
333,False,1,销售经理,/c101010100-p140302/
334,False,1,客户代表,/c101010100-p140303/
335,False,1,大客户代表,/c101010100-p140304/
336,False,1,BD经理,/c101010100-p140305/
337,False,1,商务渠道,/c101010100-p140306/
338,False,1,渠道销售,/c101010100-p140307/
339,False,1,代理商销售,/c101010100-p140308/
340,False,1,销售助理,/c101010100-p140309/
341,False,1,电话销售,/c101010100-p140310/
342,False,1,销售顾问,/c101010100-p140311/
343,False,1,商品经理,/c101010100-p140312/
344,False,1,广告销售,/c101010100-p140313/
345,False,1,网络营销,/c101010100-p140314/
346,False,1,营销主管,/c101010100-p140315/
347,False,1,销售工程师,/c101010100-p140316/
348,False,1,客户经理,/c101010100-p140317/
349,False,1,销售管理,/c101010100-p160199/
350,False,1,销售总监,/c101010100-p140402/
351,False,1,商务总监,/c101010100-p140403/
352,False,1,区域总监,/c101010100-p160101/
353,False,1,城市经理,/c101010100-p160102/
354,False,1,销售VP,/c101010100-p160103/
355,False,1,团队经理,/c101010100-p160104/
356,False,1,其他销售职位,/c101010100-p160201/
357,False,1,采编/写作/出版,/c101010100-p170199/
358,False,1,记者,/c101010100-p170101/
359,False,1,编辑,/c101010100-p170102/
360,False,1,采编,/c101010100-p170103/
361,False,1,撰稿人,/c101010100-p170104/
362,False,1,出版发行,/c101010100-p170105/
363,False,1,校对录入,/c101010100-p170106/
364,False,1,总编,/c101010100-p170107/
365,False,1,自媒体,/c101010100-p170108/
366,False,1,公关媒介,/c101010100-p170399/
367,False,1,媒介经理,/c101010100-p170301/
368,False,1,媒介专员,/c101010100-p170302/
369,False,1,广告协调,/c101010100-p170303/
370,False,1,品牌公关,/c101010100-p170304/
371,False,1,活动策划执行,/c101010100-p170305/
372,False,1,媒介策划,/c101010100-p170306/
373,False,1,会务会展,/c101010100-p170499/
374,False,1,会议活动销售,/c101010100-p170401/
375,False,1,会议活动策划,/c101010100-p170402/
376,False,1,会议活动执行,/c101010100-p170403/
377,False,1,会展活动销售,/c101010100-p170404/
378,False,1,会展活动策划,/c101010100-p170405/
379,False,1,会展活动执行,/c101010100-p170406/
380,False,1,广告,/c101010100-p170299/
381,False,1,广告创意,/c101010100-p170201/
382,False,1,美术指导,/c101010100-p170202/
383,False,1,广告设计师,/c101010100-p170203/
384,False,1,策划经理,/c101010100-p170204/
385,False,1,文案,/c101010100-p170205/
386,False,1,广告制作,/c101010100-p170207/
387,False,1,媒介投放,/c101010100-p170208/
388,False,1,媒介合作,/c101010100-p170209/
389,False,1,媒介顾问,/c101010100-p170210/
390,False,1,广告审核,/c101010100-p170211/
391,False,1,主持人/DJ,/c101010100-p170620/
392,False,1,影视媒体,/c101010100-p170699/
393,False,1,助理,/c101010100-p170617/
394,False,1,统筹制片人,/c101010100-p170618/
395,False,1,执行制片人,/c101010100-p170619/
396,False,1,导演/编导,/c101010100-p170601/
397,False,1,摄影/摄像,/c101010100-p170602/
398,False,1,视频编辑,/c101010100-p170603/
399,False,1,音频编辑,/c101010100-p170604/
400,False,1,经纪人,/c101010100-p170605/
401,False,1,后期制作,/c101010100-p170606/
402,False,1,影视制作,/c101010100-p170607/
403,False,1,影视发行,/c101010100-p170608/
404,False,1,影视策划,/c101010100-p170609/
405,False,1,主播,/c101010100-p170610/
406,False,1,演员/配音/模特,/c101010100-p170611/
407,False,1,化妆/造型/服装,/c101010100-p170612/
408,False,1,放映管理,/c101010100-p170613/
409,False,1,录音/音效,/c101010100-p170614/
410,False,1,制片人,/c101010100-p170615/
411,False,1,编剧,/c101010100-p170616/
412,False,1,其他传媒职位,/c101010100-p170501/
413,False,1,投融资,/c101010100-p180199/
414,False,1,投资经理,/c101010100-p180101/
415,False,1,行业研究,/c101010100-p180103/
416,False,1,资产管理,/c101010100-p180104/
417,False,1,投资总监,/c101010100-p180112/
418,False,1,投资VP,/c101010100-p180113/
419,False,1,投资合伙人,/c101010100-p180114/
420,False,1,融资,/c101010100-p180115/
421,False,1,并购,/c101010100-p180116/
422,False,1,投后管理,/c101010100-p180117/
423,False,1,投资助理,/c101010100-p180118/
424,False,1,其他投融资职位,/c101010100-p180111/
425,False,1,投资顾问,/c101010100-p180119/
426,False,1,风控,/c101010100-p180201/
427,False,1,律师,/c101010100-p180202/
428,False,1,资信评估,/c101010100-p180203/
429,False,1,合规稽查,/c101010100-p180204/
430,False,1,审计,/c101010100-p180301/
431,False,1,法务,/c101010100-p180302/
432,False,1,会计,/c101010100-p180303/
433,False,1,清算,/c101010100-p180304/
434,False,1,银行,/c101010100-p180499/
435,False,1,信用卡销售,/c101010100-p180401/
436,False,1,分析师,/c101010100-p180102/
437,False,1,柜员,/c101010100-p180402/
438,False,1,商务渠道,/c101010100-p180403/
439,False,1,大堂经理,/c101010100-p180404/
440,False,1,理财顾问,/c101010100-p180105/
441,False,1,客户经理,/c101010100-p180405/
442,False,1,信贷管理,/c101010100-p180406/
443,False,1,风控,/c101010100-p180107/
444,False,1,互联网金融,/c101010100-p180599/
445,False,1,金融产品经理,/c101010100-p180501/
446,False,1,风控,/c101010100-p180502/
447,False,1,催收员,/c101010100-p180503/
448,False,1,分析师,/c101010100-p180504/
449,False,1,投资经理,/c101010100-p180505/
450,False,1,交易员,/c101010100-p180106/
451,False,1,理财顾问,/c101010100-p180506/
452,False,1,合规稽查,/c101010100-p180108/
453,False,1,审计,/c101010100-p180109/
454,False,1,清算,/c101010100-p180110/
455,False,1,保险业务,/c101010100-p180701/
456,False,1,精算师,/c101010100-p180702/
457,False,1,保险理赔,/c101010100-p180703/
